season_year,player_id,clutch_fta,clutch_tov,fta,ftm,tov,tov_3_second_violation,tov_back_court_violation,tov_bad_pass,tov_double_dribble,tov_kicked_ball_violation,tov_lane_violation,tov_lost_ball,tov_offensive_foul,tov_out_of_bounds,tov_palming,tov_traveling,tov_turnover,team_id
2025,player_crystal_bradford,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,LVA
2025,player_damiris_dantas,2.0,0.0,28.0,24.0,29.0,0.0,0.0,12.0,0.0,0.0,1.0,4.0,7.0,3.0,0.0,2.0,0.0,IND
2025,player_dana_evans,7.0,4.0,53.0,40.0,37.0,0.0,1.0,24.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,1.0,0.0,LVA
2025,player_dearica_hamby,21.0,6.0,236.0,148.0,117.0,1.0,1.0,42.0,0.0,0.0,0.0,24.0,14.0,28.0,0.0,7.0,0.0,LAS
2025,player_dewanna_bonner,12.0,1.0,86.0,75.0,28.0,0.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0,11.0,0.0,0.0,1.0,IND
2025,player_diamond_miller,4.0,1.0,46.0,35.0,34.0,0.0,0.0,6.0,0.0,0.0,0.0,10.0,6.0,11.0,0.0,1.0,0.0,DAL
2025,player_dijonai_carrington,6.0,5.0,82.0,66.0,59.0,0.0,1.0,34.0,0.0,0.0,0.0,11.0,2.0,11.0,0.0,0.0,0.0,MIN
2025,player_dominique_malonga,3.0,2.0,51.0,29.0,48.0,3.0,0.0,14.0,0.0,0.0,1.0,5.0,8.0,7.0,0.0,10.0,0.0,SEA
2025,player_elizabeth_kitley,0.0,0.0,2.0,1.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,LVA
2025,player_elizabeth_williams,2.0,1.0,81.0,50.0,56.0,0.0,0.0,23.0,0.0,0.0,0.0,11.0,7.0,10.0,0.0,5.0,0.0,CHI
2025,player_emily_engstler,4.0,2.0,36.0,24.0,38.0,0.0,0.0,14.0,0.0,0.0,0.0,3.0,6.0,12.0,0.0,1.0,2.0,WAS
2025,player_emma_cannon,4.0,2.0,23.0,15.0,16.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,7.0,2.0,0.0,2.0,0.0,LAS
2025,player_emma_meesseman,2.0,1.0,37.0,32.0,36.0,0.0,0.0,14.0,0.0,0.0,0.0,8.0,5.0,5.0,0.0,4.0,0.0,NYL
2025,player_erica_wheeler,7.0,4.0,50.0,43.0,68.0,0.0,0.0,36.0,1.0,0.0,0.0,7.0,2.0,16.0,0.0,5.0,1.0,SEA
