playerId,orb,trb,ast,stl,blk,tov,pf
player_kia_nurse,0.4,2.3,1.3,0.3,0.0,1.3,1.6
player_aaliyah_nye,0.3,1.5,0.5,0.3,0.2,0.6,1.3
player_arike_ogunbowale,0.3,2.5,4.1,1.3,0.2,2.1,2.6
player_nneka_ogwumike,1.3,7.0,2.3,1.1,0.4,1.9,1.9
player_amy_okonkwo,0.9,3.1,0.8,1.4,0.1,0.9,1.4
player_lucy_olsen,0.3,1.2,1.2,0.4,0.1,0.5,1.1
player_michaela_onyenwere,0.4,1.6,1.1,0.4,0.1,1.3,1.8
player_te_hina_paopao,0.2,1.6,2.4,0.5,0.2,1.0,1.1
player_cheyenne_parker_tyus,0.0,1.0,0.0,0.0,0.0,0.5,1.0
player_robyn_parks,0.2,1.5,0.3,0.3,0.0,0.2,1.2
player_haley_peters,0.8,2.2,0.8,0.3,0.1,0.7,1.5
player_ajae_petty,0.0,0.5,0.0,0.0,0.0,0.0,0.5
player_kelsey_plum,0.2,3.1,5.7,1.2,0.1,3.0,2.7
player_alexis_prince,0.0,8.0,1.0,0.0,0.0,3.0,1.0
player_jj_quinerly,0.5,1.9,2.3,0.9,0.2,1.5,2.1
player_angel_reese,4.1,12.6,3.7,1.5,0.7,3.9,3.4
player_saniya_rivers,0.7,2.8,2.7,1.5,0.9,1.5,1.7
player_iliana_rupert,1.0,3.9,1.6,0.6,0.6,1.0,2.3
player_mercedes_russell,0.5,1.2,0.6,0.3,0.2,0.4,0.9
player_nyara_sabally,1.6,4.5,0.8,0.5,1.0,0.9,2.2
player_satou_sabally,1.4,5.9,2.5,1.3,0.3,2.0,2.9
player_janelle_sala_n,0.9,5.1,1.2,0.6,0.1,1.5,1.9
player_karlie_samuelson,0.2,1.3,1.1,0.4,0.1,0.7,1.6
player_madison_scott,0.1,0.1,0.2,0.2,0.0,0.1,0.9
player_jessica_shepard,2.3,7.3,2.6,0.5,0.1,1.5,1.1
player_maddy_siegrist,2.0,4.3,0.8,0.7,0.6,0.5,1.9
player_kamiah_smalls,0.0,0.0,0.0,0.0,0.0,0.0,0.0
player_alanna_smith,1.5,5.1,2.9,1.3,1.9,1.5,2.8
player_azura_stevens,1.7,8.0,2.1,1.2,1.1,1.5,2.2
player_breanna_stewart,1.0,6.5,3.5,1.4,1.4,1.9,1.9
player_kiah_stokes,0.7,3.6,0.4,0.4,0.4,0.4,1.2
player_serena_sundell,0.0,0.3,0.0,0.0,0.0,0.7,1.3
player_sug_sutton,0.2,1.8,3.9,0.8,0.1,1.9,1.3
player_camryn_taylor,0.3,1.0,0.2,0.0,0.0,0.5,0.7
player_taylor_thierry,0.1,0.4,0.1,0.2,0.0,0.1,0.1
player_alyssa_thomas,1.6,8.8,9.2,1.6,0.4,3.5,2.1
player_kayla_thornton,1.8,7.0,1.5,1.3,0.2,1.6,2.4
player_makayla_timpson,0.6,1.8,0.0,0.4,0.3,0.3,0.8
player_mamignan_tour,0.2,0.4,0.5,0.4,0.0,0.4,1.1
player_brianna_turner,0.7,1.9,0.6,0.1,0.3,0.3,0.9
player_maria_kliundikova,1.3,3.0,0.6,0.7,0.8,0.7,1.4
player_courtney_vandersloot,0.3,3.1,5.3,1.6,0.3,2.4,1.9
player_hailey_van_lith,0.1,1.1,1.6,0.4,0.1,1.2,0.8
player_shatori_walker_kimbrough,0.1,0.9,0.5,0.2,0.3,0.4,0.6
player_kathryn_westbeld,0.7,2.5,0.9,0.8,0.6,0.6,1.5
player_maddy_westbeld,0.8,2.4,0.9,0.5,0.3,0.6,1.6
player_erica_wheeler,0.4,2.7,3.3,1.3,0.2,1.5,2.5
player_sami_whitcomb,0.4,2.6,2.5,0.8,0.2,1.6,2.1
player_christyn_williams,0.5,1.0,0.8,0.0,0.0,0.3,1.0
player_courtney_williams,0.5,4.9,6.2,1.3,0.3,2.3,2.0
player_elizabeth_williams,1.8,5.2,1.8,0.7,0.9,1.3,1.4
player_gabby_williams,0.5,4.3,4.2,2.3,0.5,1.9,1.5
player_kiana_williams,0.0,1.0,0.9,0.3,0.0,0.5,0.5
player_a_ja_wilson,2.3,10.2,3.1,1.6,2.3,2.2,1.9
player_jackie_young,1.2,4.5,5.1,1.3,0.4,2.2,2.4
player_cecilia_zandalasini,0.3,2.9,1.7,0.9,0.2,1.3,1.7
player_grace_berger,0.6,3.3,3.1,0.7,0.4,1.1,1.9
player_chloe_bibby,0.4,1.8,0.5,0.6,0.1,0.5,0.9
player_dewanna_bonner,0.9,4.2,1.2,0.8,0.3,0.8,1.3
player_dijonai_carrington,1.5,4.0,1.5,1.1,0.4,1.9,2.5
player_kaila_charles,1.3,4.3,1.0,0.8,0.2,1.1,2.0
player_alysha_clark,0.4,2.8,1.2,0.6,0.1,0.5,1.9
player_marquesha_davis,0.3,0.6,0.1,0.0,0.2,0.5,0.3
player_aaliyah_edwards,1.3,3.7,0.6,0.6,0.4,1.1,1.6
player_bree_hall,0.0,0.8,0.0,0.0,0.0,0.8,1.0
player_haley_jones,0.6,3.5,2.3,0.8,0.8,1.7,2.3
player_liatu_king,0.9,2.1,0.3,0.1,0.0,0.8,1.0
player_sika_kon,0.2,1.0,0.3,0.0,0.0,0.3,0.6
player_diamond_miller,0.3,1.3,0.8,0.3,0.2,0.9,1.6
player_tiffany_mitchell,0.3,1.1,0.3,0.4,0.2,0.6,1.3
player_shey_peddy,0.5,1.7,2.1,0.4,0.0,0.9,1.3
player_alissa_pili,0.2,1.0,0.2,0.1,0.1,0.4,0.7
player_aerial_powers,1.0,3.9,2.0,0.8,0.1,1.1,1.9
player_jacy_sheldon,0.7,1.9,1.9,0.9,0.2,1.0,2.4
player_jaylyn_sherrod,0.1,0.6,0.5,0.4,0.0,0.5,0.7
player_odyssey_sims,0.4,2.4,3.8,0.7,0.0,1.4,2.0
player_nalyssa_smith,1.6,5.1,0.7,0.6,0.6,1.1,2.9
player_brittney_sykes,0.5,3.2,4.0,1.2,0.4,2.5,2.5
player_stephanie_talbot,0.7,2.7,1.7,0.5,0.2,1.1,1.1
player_sevgi_uzun,0.0,1.2,2.5,0.5,0.1,1.7,1.5
player_julie_vanloo,0.1,0.9,1.9,0.4,0.0,1.4,1.3
player_li_yueru,1.7,4.5,0.9,0.3,0.3,1.0,1.8
