,,,,,,,,+/- Per 100 Poss.,+/- Per 100 Poss.,,Turnovers,Turnovers,,Fouls Committed,Fouls Committed,,Fouls Drawn,Fouls Drawn,,Misc.,Misc.,Misc.
Player,Team,Pos,G,MP,G,MP,,OnCourt,On-Off,,BadPass,LostBall,,Shoot,Off.,,Shoot,Off.,,PGA,And1,Blkd
Natasha Mack,PHO,F-C,34,623,34,623,,11.7,12.4,,9,3,,29,2,,18,1,,78,4,7
Megan McConnell,PHO,G,1,13,1,13,,-86.6,-90.9,,0,0,,1,0,,0,0,,7,0,1
Murjanatu Musa,PHO,C,12,122,12,122,,-20.3,-25.6,,4,0,,6,3,,6,3,,18,1,2
Alexis Prince,PHO,F,1,22,1,22,,13.8,10.3,,2,0,,0,1,,0,0,,2,0,0
Satou Sabally,PHO,F,39,1039,39,1039,,6.6,7.5,,39,15,,45,13,,76,6,,240,19,31
Alyssa Thomas,PHO,F,39,1221,39,1221,,7.9,14.5,,89,20,,30,22,,77,0,,892,22,30
Kathryn Westbeld,PHO,F,43,792,43,792,,3.9,0.7,,9,11,,38,0,,13,0,,94,1,10
Sami Whitcomb,PHO,G,43,1027,43,1027,,4.9,3.2,,46,14,,48,4,,15,7,,246,4,13
Kiana Williams,PHO,G,11,107,11,107,,-14.5,-19.3,,5,1,,4,0,,1,0,,24,0,1
Lexie Brown,SEA,G,24,227,24,227,,2.5,0.4,,1,2,,7,3,,4,1,,51,0,1
Zia Cooke,SEA,G,26,261,26,261,,-12.4,-17.1,,12,8,,12,1,,12,2,,33,1,5
Skylar Diggins,SEA,G,43,1343,43,1343,,5.8,15.3,,58,18,,36,5,,85,16,,593,17,34
Mackenzie Holmes,SEA,F,10,58,10,58,,-23.1,-26.1,,0,0,,3,0,,0,1,,6,0,0
Ezi Magbegor,SEA,F-C,44,1203,44,1203,,2.2,0.1,,19,7,,73,11,,40,1,,210,6,29
Dominique Malonga,SEA,C,42,600,42,600,,-2.4,-7.0,,18,7,,48,8,,24,2,,86,4,30
Nneka Ogwumike,SEA,F,44,1359,44,1359,,4.5,9.8,,43,23,,34,14,,51,11,,229,16,31
Erica Wheeler,SEA,G,44,1126,44,1126,,3.2,2.7,,47,11,,47,2,,16,16,,329,4,15
Gabby Williams,SEA,F,44,1391,44,1391,,5.2,14.0,,53,23,,34,4,,37,6,,430,12,20
Shakira Austin,WAS,F-C,38,874,38,874,,-7.0,-3.6,,44,28,,51,7,,75,2,,164,26,38
