PlayerID,,,,,,Popular Stats,,,,,,,,,Additional Stats,,,,,,,
,Player,Team,Pos,G,Min,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,OREB,DREB,3PA,3P%,FGM,FGA,FTM,FTA
785,NaLyssa Smith,LVA,F,27,612,221,142,19,18,13,6,55.6,60.7,34,45,97,16,37.5,89,160,37,61
757,Maya Caldwell,ATL,G,41,760,221,127,74,37,7,39,42.6,80.0,40,33,94,110,35.5,83,195,16,20
1006,JJ Quinerly,DAL,G,34,539,220,63,78,29,7,21,42.6,86.7,52,18,45,54,38.9,80,188,39,45
911,Caitlin Clark,IND,G,13,404,214,65,115,21,7,29,36.7,82.0,66,1,64,104,27.9,72,196,41,50
797,Rae Burrell,LAS,G,28,515,211,65,34,16,5,22,43.3,74.5,25,18,47,67,32.8,77,178,35,47
922,Jacy Sheldon,CON,G,28,676,211,54,55,27,6,35,47.0,90.0,30,21,33,85,41.2,79,168,18,20
678,DiJonai Carrington,DAL,G,20,497,208,101,36,21,9,13,35.4,82.5,49,41,60,50,26.0,74,209,47,57
468,Cecilia Zandalasini,GSV,F,19,450,199,56,32,18,4,37,44.7,87.5,25,5,51,91,40.7,67,150,28,32
658,Aari McDonald,IND,G,20,525,196,47,94,25,3,24,42.9,78.4,46,9,38,78,30.8,66,154,40,51
671,Kitija Laksa,PHO,G,33,626,196,40,21,12,6,38,36.7,81.3,19,11,29,120,31.7,66,180,26,32
745,Iliana Rupert,GSV,C,21,486,195,81,33,13,12,46,43.8,93.8,20,21,60,104,44.2,67,153,15,16
854,Haley Jones,DAL,G,24,546,195,90,60,20,21,11,46.0,62.9,46,16,74,37,29.7,81,176,22,35
661,Luisa Geiselsoder,DAL,C,28,628,192,133,44,22,19,31,42.5,81.8,28,24,109,94,33.0,76,179,9,11
488,Monique Billings,GSV,F,26,474,190,116,14,16,21,10,47.7,67.9,21,37,79,36,27.8,72,151,36,53
640,Julie Allemand,LAS,G,34,963,183,127,170,45,1,28,44.0,78.9,53,13,114,101,27.7,70,159,15,19
228,Damiris Dantas,IND,C,38,439,175,91,25,6,3,25,34.8,85.7,29,28,63,95,26.3,63,181,24,28
423,Nia Coffey,ATL,F,44,455,170,114,46,10,18,24,37.4,72.0,30,26,88,82,29.3,55,147,36,50
973,Alexa Held,PHO,G,32,471,170,34,35,23,5,28,37.8,81.8,28,11,23,91,30.8,62,164,18,22
999,Aaliyah Nye,LVA,G,44,671,169,66,24,13,9,37,34.5,82.4,27,15,51,118,31.4,59,171,14,17
416,Isabelle Harrison,NYL,F,34,360,167,89,24,20,2,4,48.5,76.7,23,29,60,15,26.7,65,134,33,43
238,Brittney Sykes,SEA,G,14,420,165,38,46,17,6,10,38.6,77.0,30,8,30,36,27.8,54,140,47,61
1000,Lucy Olsen,WAS,G,41,508,165,48,49,15,5,19,41.5,82.4,21,11,37,70,27.1,66,159,14,17
610,Li Yueru,DAL,C,22,441,162,127,23,8,9,18,42.1,84.2,23,48,79,51,35.3,56,133,32,38
249,Stefanie Dolson,WAS,C,43,653,161,97,59,12,14,27,42.3,70.0,29,16,81,75,36.0,60,142,14,20
735,Natasha Mack,PHO,F,34,623,159,197,30,30,52,0,57.3,47.2,15,78,119,4,0.0,71,124,17,36
859,Laeticia Amihere,GSV,F,29,385,156,125,27,17,13,3,45.6,77.8,32,35,90,21,14.3,52,114,49,63
258,Rebekah Gardner,NYL,G,41,502,152,74,25,25,7,20,50.0,81.5,23,27,47,42,47.6,55,110,22,27
573,Kalani Brown,PHO,C,29,370,148,117,16,7,18,3,61.5,77.1,23,36,81,8,37.5,59,96,27,35
495,Maria Kliundikova,MIN,C,34,373,148,102,19,25,26,8,50.0,57.1,23,43,59,25,32.0,64,128,12,21
793,Emily Engstler,WAS,F,40,512,146,130,58,28,27,16,39.6,66.7,38,37,93,63,25.4,53,134,24,36
792,Kierstan Bell,LVA,F,35,427,146,62,23,14,11,30,33.8,80.0,17,20,42,103,29.1,52,154,12,15
663,Kaila Charles,GSV,G,18,347,133,81,17,19,3,15,46.3,81.8,22,21,60,42,35.7,50,108,18,22
914,Aaliyah Edwards,WAS,F,21,279,125,69,9,10,6,0,47.9,62.5,23,25,44,7,0.0,45,94,35,56
330,Odyssey Sims,IND,G,12,317,124,22,48,7,0,9,41.2,81.0,16,4,18,30,30.0,49,119,17,21
785,NaLyssa Smith,DAL,F,18,344,121,89,14,7,16,2,42.5,61.7,17,29,60,11,18.2,45,106,29,47
330,Odyssey Sims,LAS,G,12,354,118,35,42,10,1,12,41.7,76.5,17,6,29,34,35.3,40,96,26,34
1016,Maddy Westbeld,CHI,F,26,354,107,62,23,13,7,17,36.2,87.5,16,21,41,43,39.5,38,105,14,16
982,Sarah Ashlee Barker,LAS,G,34,481,105,66,31,11,4,18,33.7,70.8,37,10,56,61,29.5,35,104,17,24
1015,Hailey Van Lith,CHI,G,29,361,102,31,45,12,4,5,33.9,74.2,36,4,27,31,16.1,37,109,23,31
853,Diamond Miller,MIN,F,25,243,102,22,15,8,4,14,47.6,84.8,20,4,18,26,53.8,30,63,28,33
912,Cameron Brink,LAS,F,19,244,96,82,9,10,26,10,42.7,76.2,25,26,56,34,29.4,35,82,16,21
678,DiJonai Carrington,MIN,G,11,183,95,23,12,13,4,10,48.5,76.0,10,7,16,22,45.5,33,68,19,25
572,Teaira McCowan,DAL,C,17,219,95,78,10,5,12,1,53.7,75.9,16,30,48,2,50.0,36,67,22,29
431,Alysha Clark,SEA,F,27,485,95,64,28,19,2,16,37.8,84.6,17,9,55,55,29.1,34,90,11,13
398,Emma Cannon,LAS,F,21,213,93,38,8,10,1,14,50.8,65.2,16,11,27,36,38.9,32,63,15,23
789,Nyara Sabally,NYL,C,17,305,92,77,13,9,17,1,48.7,68.0,16,27,50,7,14.3,37,76,17,25
663,Kaila Charles,DAL,G,17,269,90,68,18,9,4,10,36.3,81.5,16,25,43,30,33.3,29,80,22,27
863,Zia Cooke,SEA,G,26,261,90,14,14,10,1,15,35.7,65.2,22,6,8,38,39.5,30,84,15,23
770,Amy Okonkwo,DAL,F,8,157,88,25,6,11,1,10,49.2,90.0,7,7,18,30,33.3,30,61,18,20
1013,Makayla Timpson,IND,F,31,219,82,57,1,13,8,0,56.1,66.7,8,18,39,0,0.0,32,57,18,27
381,Lindsay Allen,CON,G,31,450,74,32,61,10,6,3,40.0,82.6,31,9,23,18,16.7,26,65,19,23
246,Courtney Vandersloot,CHI,G,7,191,74,22,37,11,2,5,43.9,84.6,17,2,20,23,21.7,29,66,11,13
293,Aerial Powers,IND,G,8,160,72,37,19,7,1,7,42.9,64.7,11,9,28,19,36.8,27,63,11,17
459,Shatori Walker-Kimbrough,ATL,G,41,354,71,37,22,10,11,11,41.3,72.7,15,3,34,31,35.5,26,63,8,11
410,Sydney Colson,IND,G,30,404,71,25,60,15,6,13,34.2,85.7,35,7,18,47,27.7,26,76,6,7
914,Aaliyah Edwards,CON,F,15,255,69,63,11,13,8,0,40.0,67.7,18,22,41,2,0.0,24,60,21,31
431,Alysha Clark,WAS,F,15,343,68,53,23,7,2,10,36.2,61.5,5,7,46,41,24.4,25,69,8,13
414,Haley Peters,CON,F,33,380,68,74,25,11,3,8,30.5,76.9,22,25,49,39,20.5,25,82,10,13
310,Tiffany Mitchell,SEA,G,23,300,67,13,5,8,5,7,39.3,66.7,10,5,8,17,41.2,24,61,12,18
910,Sevgi Uzun,CHI,G,18,337,67,25,49,9,0,4,34.6,70.0,33,1,24,22,18.2,28,81,7,10
462,DeWanna Bonner,IND,G,9,192,64,34,14,11,1,9,34.5,89.5,10,4,30,25,36.0,19,55,17,19
861,Grace Berger,DAL,G,18,402,64,62,57,14,7,2,30.6,66.7,18,11,51,21,9.5,26,85,10,15
