playerName,rim_fgm,rim_fga,paint_fgm,paint_fga,mid_fgm,mid_fga,corner3_fgm,corner3_fga,ab3_fgm,ab3_fga,three_fgm,three_fga,total_fgm,total_fga,rim_fg,paint_fg,mid_fg,corner3_fg,ab3_fg,three_fg,total_fg,rim_att_share,paint_att_share,mid_att_share,corner3_att_share,ab3_att_share,three_att_share,age,playerId,teamId,pos
Damiris Dantas,19.0,25.0,13.0,39.0,6.0,22.0,1.0,5.0,24,90,25.0,95.0,63.0,181.0,0.76,0.3333333333333333,0.2727272727272727,0.2,0.26666666666666666,0.2631578947368421,0.34806629834254144,0.13812154696132597,0.2154696132596685,0.12154696132596685,0.027624309392265192,0.4972375690607735,0.5248618784530387,33,player_damiris_dantas,IND,C-F
Dana Evans,12.0,33.0,34.0,93.0,24.0,48.0,3.0,10.0,34,90,37.0,100.0,107.0,274.0,0.36363636363636365,0.3655913978494624,0.5,0.3,0.37777777777777777,0.37,0.3905109489051095,0.12043795620437957,0.33941605839416056,0.17518248175182483,0.0364963503649635,0.3284671532846715,0.36496350364963503,27,player_dana_evans,LVA,G
DeWanna Bonner,43.0,70.0,10.0,30.0,12.0,37.0,15.0,32.0,25,87,40.0,119.0,105.0,256.0,0.6142857142857143,0.3333333333333333,0.32432432432432434,0.46875,0.28735632183908044,0.33613445378151263,0.41015625,0.2734375,0.1171875,0.14453125,0.125,0.33984375,0.46484375,38,player_dewanna_bonner,IND,G-F
Dearica Hamby,254.0,360.0,51.0,146.0,4.0,6.0,1.0,5.0,14,47,15.0,52.0,324.0,564.0,0.7055555555555556,0.3493150684931507,0.6666666666666666,0.2,0.2978723404255319,0.28846153846153844,0.574468085106383,0.6382978723404256,0.25886524822695034,0.010638297872340425,0.008865248226950355,0.08333333333333333,0.09219858156028368,32,player_dearica_hamby,LAS,F
DiJonai Carrington,51.0,98.0,26.0,81.0,7.0,26.0,4.0,5.0,19,64,23.0,69.0,107.0,274.0,0.5204081632653061,0.32098765432098764,0.2692307692307692,0.8,0.296875,0.3333333333333333,0.3905109489051095,0.35766423357664234,0.2956204379562044,0.0948905109489051,0.01824817518248175,0.23357664233576642,0.2518248175182482,28,player_dijonai_carrington,MIN,G-F
Diamond Miller,31.0,47.0,4.0,26.0,2.0,10.0,2.0,5.0,15,46,17.0,51.0,54.0,134.0,0.6595744680851063,0.15384615384615385,0.2,0.4,0.32608695652173914,0.3333333333333333,0.40298507462686567,0.35074626865671643,0.19402985074626866,0.07462686567164178,0.03731343283582089,0.34328358208955223,0.3805970149253731,24,player_diamond_miller,DAL,F
Dominique Malonga,92.0,131.0,39.0,91.0,10.0,23.0,,,4,18,,,,,0.7022900763358778,0.42857142857142855,0.43478260869565216,,0.2222222222222222,,,0.0,0.0,0.0,0.0,0.0,0.0,20,player_dominique_malonga,SEA,C
Elizabeth Kitley,4.0,8.0,3.0,11.0,0.0,3.0,,,0,1,,,,,0.5,0.2727272727272727,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,24,player_elizabeth_kitley,LVA,C
Elizabeth Williams,99.0,165.0,48.0,129.0,10.0,33.0,,,0,0,,,,,0.6,0.37209302325581395,0.30303030303030304,,,,,0.0,0.0,0.0,0.0,0.0,0.0,32,player_elizabeth_williams,CHI,C-F
Emily Engstler,28.0,35.0,7.0,28.0,2.0,8.0,4.0,17.0,12,45,16.0,62.0,53.0,133.0,0.8,0.25,0.25,0.23529411764705882,0.26666666666666666,0.25806451612903225,0.39849624060150374,0.2631578947368421,0.21052631578947367,0.06015037593984962,0.12781954887218044,0.3383458646616541,0.46616541353383456,25,player_emily_engstler,WAS,F
