season,playerId,playerName,teamId,pos,g,mp,onCourt_plusMinus_per100,onOff_plusMinus_per100,tov_badPass,tov_lostBall,tov_shoot,tov_offensiveFoulOrOther,foulsCommitted_shooting,foulsCommitted_offensive,misc_pga,misc_and1,misc_blkd,oldPlayerId,oldTeamId
2025,player_lindsay_allen,Lindsay Allen,CON,G,31,450,-16.1,-4.2,24,6,15,0,9,13,138,1,2,bref_con_lindsay_allen,CON
2025,player_lucy_olsen,Lucy Olsen,WAS,G,41,508,-10.9,-8.1,9,7,22,3,8,3,107,2,6,bref_was_lucy_olsen,WAS
2025,player_luisa_geiselsoder,Luisa Geiselsoder,DAL,C,28,628,-10.4,-3.4,17,2,34,8,4,0,100,1,6,bref_dal_luisa_geiselsoder,DAL
2025,player_mackenzie_holmes,Mackenzie Holmes,SEA,F,10,58,-23.1,-26.1,0,0,3,0,0,1,6,0,0,bref_sea_mackenzie_holmes,SEA
2025,player_maddy_siegrist,Maddy Siegrist,DAL,F,26,702,-6.9,2.1,8,6,29,0,26,1,48,4,15,bref_dal_maddy_siegrist,DAL
2025,player_maddy_westbeld,Maddy Westbeld,CHI,F,26,354,-17.1,-5.2,8,4,20,3,7,0,56,0,5,bref_chi_maddy_westbeld,CHI
2025,player_madison_scott,Madison Scott,WAS,G-F,9,47,-1.5,3.8,1,0,2,0,2,0,5,0,2,bref_was_madison_scott,WAS
2025,player_makayla_timpson,Makayla Timpson,IND,F-C,31,219,-1.8,-6.6,1,3,11,2,12,0,3,1,8,bref_ind_makayla_timpson,IND
2025,player_mamignan_tour,Mamignan Touré,CON,G,18,147,-9.8,3.5,3,4,11,0,0,0,20,0,0,bref_con_mamignan_tour,CON
2025,player_maria_kliundikova,Maria Kliundikova,MIN,F,34,373,11.4,-1.2,8,5,24,5,11,0,43,3,4,bref_min_maria_kliundikova,MIN
2025,player_marina_mabrey,Marina Mabrey,CON,G,35,1103,-13.9,-2.3,56,18,55,14,29,12,312,8,23,bref_con_marina_mabrey,CON
2025,player_marine_johannes,Marine Johannes,NYL,G,44,803,5.0,-0.4,39,8,20,0,6,1,169,0,7,bref_nyl_marine_johannes,NYL
2025,player_mari_me_badiane,Marième Badiane,MIN,C,3,11,-29.5,-42.2,1,0,2,1,0,0,0,0,0,bref_min_mari_me_badiane,MIN
2025,player_marquesha_davis,Marquesha Davis,CHI,G,11,52,-15.3,-11.7,2,2,1,0,4,1,2,1,2,bref_tot_marquesha_davis,TOT
2025,player_maya_caldwell,Maya Caldwell,ATL,G,41,760,9.9,0.4,23,11,25,0,10,6,180,4,4,bref_atl_maya_caldwell,ATL
2025,player_megan_gustafson,Megan Gustafson,LVA,C,20,226,-12.5,-18.7,2,1,20,3,7,1,12,1,0,bref_lva_megan_gustafson,LVA
2025,player_megan_mcconnell,Megan McConnell,PHO,G,1,13,-86.6,-90.9,0,0,1,0,0,0,7,0,1,bref_pho_megan_mcconnell,PHO
2025,player_mercedes_russell,Mercedes Russell,LAS,C,20,163,-16.9,-15.2,4,1,9,2,4,1,29,0,3,bref_las_mercedes_russell,LAS
2025,player_michaela_onyenwere,Michaela Onyenwere,CHI,F,42,711,-10.8,3.6,21,17,26,11,23,5,116,5,22,bref_chi_michaela_onyenwere,CHI
2025,player_monique_akoa_makani,Monique Akoa Makani,PHO,G,41,881,9.7,12.1,40,11,37,3,16,19,248,4,7,bref_pho_monique_akoa_makani,PHO
2025,player_monique_billings,Monique Billings,GSV,F,26,474,0.1,-2.4,8,5,25,5,28,4,39,7,10,bref_gsv_monique_billings,GSV
2025,player_moriah_jefferson,Moriah Jefferson,CHI,G,5,35,-36.9,-24.5,1,1,0,0,0,0,21,0,0,bref_chi_moriah_jefferson,CHI
2025,player_murjanatu_musa,Murjanatu Musa,PHO,C,12,122,-20.3,-25.6,4,0,6,3,6,3,18,1,2,bref_pho_murjanatu_musa,PHO
2025,player_myisha_hines_allen,Myisha Hines-Allen,DAL,F,40,882,-5.8,4.7,43,17,53,16,39,5,264,7,16,bref_dal_myisha_hines_allen,DAL
2025,player_nalyssa_smith,NaLyssa Smith,DAL,F,45,956,2.6,6.6,16,16,90,21,57,8,79,6,23,bref_tot_nalyssa_smith,TOT
2025,player_napheesa_collier,Napheesa Collier,MIN,F,33,1065,16.6,10.7,17,26,28,17,69,4,264,21,25,bref_min_napheesa_collier,MIN
