playerId,playerName,games,minutes,foulsCommittedOffensive
player_skylar_diggins,Skylar Diggins,,1343.0,5.0
player_mackenzie_holmes,Mackenzie Holmes,,,3.0
player_ezi_magbegor,Ezi Magbegor,1203.0,2.2,40.0
player_dominique_malonga,Dominique Malonga,,,48.0
player_nneka_ogwumike,Nneka Ogwumike,,1359.0,14.0
player_erica_wheeler,Erica Wheeler,,1126.0,2.0
player_gabby_williams,Gabby Williams,,1391.0,4.0
player_shakira_austin,Shakira Austin,,874.0,7.0
player_sonia_citron,Sonia Citron,,1415.0,2.0
player_stefanie_dolson,Stefanie Dolson,,,45.0
player_emily_engstler,Emily Engstler,,,33.0
player_kiki_iriafen,Kiki Iriafen,,1185.0,24.0
player_jade_melbourne,Jade Melbourne,,1008.0,3.0
player_lucy_olsen,Lucy Olsen,,,22.0
player_madison_scott,Madison Scott,9.0,47.0,0.0
player_sug_sutton,Sug Sutton,,1122.0,2.0
player_grace_berger,Grace Berger,,,16.0
player_chloe_bibby,Chloe Bibby,,,7.0
player_dewanna_bonner,DeWanna Bonner,,778.0,1.0
player_dijonai_carrington,DiJonai Carrington,,680.0,2.0
player_kaila_charles,Kaila Charles,,616.0,2.0
player_alysha_clark,Alysha Clark,,,36.0
player_marquesha_davis,Marquesha Davis,,,1.0
player_aaliyah_edwards,Aaliyah Edwards,,,24.0
player_bree_hall,Bree Hall,,4.0,0.0
player_haley_jones,Haley Jones,,594.0,8.0
player_liatu_king,Liatu King,,,6.0
player_sika_kon,Sika Kone,,,5.0
player_diamond_miller,Diamond Miller,,,28.0
player_tiffany_mitchell,Tiffany Mitchell,,,22.0
player_shey_peddy,Shey Peddy,,,12.0
player_alissa_pili,Alissa Pili,,,7.0
player_aerial_powers,Aerial Powers,,,12.0
player_jacy_sheldon,Jacy Sheldon,,,34.0
player_jaylyn_sherrod,Jaylyn Sherrod,,,7.0
player_odyssey_sims,Odyssey Sims,,,19.0
player_nalyssa_smith,NaLyssa Smith,,,90.0
player_brittney_sykes,Brittney Sykes,,1194.0,7.0
player_stephanie_talbot,Stephanie Talbot,,,25.0
